test_id,escenario,layout_id,intento,instruccion,starBlackPos,starOrangePos,cubeBlackPos,cubeOrangePos,foto_objeto,foto_pos,objeto_ocluido,setup_validado,objeto_visible_inicio,oclusion_verificada,estrella_negra_agarre,estrella_negra_destino,estrella_naranja_agarre,estrella_naranja_destino,cubo_negro_agarre,cubo_negro_destino,cubo_naranja_agarre,cubo_naranja_destino,finalizacion_limpia,recuerda_objeto_ocluido,completa_objeto_ocluido,selecciona_real_antes_foto,evita_intento_agarre_foto,intentos_agarre_foto,timeout,intervencion_emergencia,modo_fallo,objeto_fallo,fase_fallo,notas_ejecucion,puntuacion_destreza,max_destreza,puntuacion_memoria,max_memoria,puntuacion_3d,max_3d,puntuacion_total,puntuacion_max,puntuacion_normalizada,registro_valido,exito_completo
C-01,combinado_sin_foto,combinado_sin_foto,1,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,0,0,1,1,0,1,1,,,,1,0,alucinacion_objeto_inexistente,cubo_negro,agarre,"Coge y deja bien BS y OS de primeras; coge bien OC; se pierde con BC y alucina objetos inexistentes, termina sin BC.",6,9,2,2,0,0,8,11,0.7272727272727273,1,0
C-02,combinado_sin_foto,combinado_sin_foto,2,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1,0,alucinacion_no_localiza,cubo_negro;cubo_naranja(no_intentado),agarre,"BS: falla a la primera, luego bien. OS: falla, reintenta, acaba bien. Alucina buscando objetos antes de intentar BC (lapsus confirmado: era cubo negro); no coge BC; OC no se menciona/intenta.",4,9,0,2,0,0,4,11,0.36363636363636365,1,0
C-03,combinado_sin_foto,combinado_sin_foto,3,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,,"BS: varios fallos y alucinaciones, al final bien. OS: alucina un poco, bien. BC: falla y alucina, luego bien. OC: bien. Termina perfecto (episodio completo).",9,9,2,2,0,0,11,11,1.0,1,1
C-04,combinado_sin_foto,combinado_sin_foto,4,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,indecision_alucinacion,estrella_negra;estrella_naranja,agarre,"BS: fallos repetidos en bucle, nunca lo consigue. Abandona y duda entre estrella negra y naranja, ambas fallan. Termina sin nada (timeout: no logra nada en todo el episodio).",0,9,0,2,0,0,0,11,0.0,1,0
C-05,combinado_sin_foto,combinado_sin_foto,5,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,1,0,empuja_objeto_fuera_area,estrella_naranja,agarre,"BS: coge y deja bien. OS: la empuja fuera del espacio de trabajo, alucina mucho intentando cogerla. Termina con solo BS bien.",2,9,0,2,0,0,2,11,0.18181818181818182,1,0
C-06,combinado_sin_foto,combinado_sin_foto,6,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,,"BS y OS perfectas. Duda inicial entre cubos y falla, pero BC y OC (moviendo el cubo en fallos) acaban bien. Termina bien, episodio completo.",9,9,2,2,0,0,11,11,1.0,1,1
C-07,combinado_con_foto,combinado_con_foto,7,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,fijacion_en_foto,foto,agarre,"Va directo a intentar coger la foto, la abandona un momento, luego intenta cogerla repetidas veces mas tarde (>=2 intentos de agarre claros). BS y OS fallan. Termina sin conseguir nada (timeout).",0,9,0,2,0,2,0,13,0.0,1,0
C-08,combinado_con_foto,combinado_con_foto,8,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,fijacion_en_foto_sin_agarre,foto,agarre,"Se aproxima a la foto repetidas veces pero el texto no describe un intento de agarre claro (solo 'ir a por ella'), por lo que no cuenta como intento. BS falla. Alucina cogiendo objetos imposibles. No hace nada al final (timeout).",0,9,0,2,1,2,1,13,0.07692307692307693,1,0
C-09,combinado_con_foto,combinado_con_foto,9,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,fijacion_en_foto,foto,agarre,"Va a la foto, alucina, BS falla bastante (evaluador nota: 'no se a donde mira la camara'). Vuelve a la foto e intenta cogerla, fallando estrepitosamente (1 intento de agarre claro). Finalmente coge y deja bien BS. Alucina y termina.",2,9,0,2,0,2,2,13,0.15384615384615385,1,0
C-10,combinado_con_foto,combinado_con_foto,10,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,agarre_fallido,cubo_naranja;cubo_negro,agarre,Va a la foto repetidamente pero renuncia sin llegar a intentar agarrarla (no cuenta como intento). BS y OS acaban bien. Va por OC y falla; va por BC y termina el episodio sin ningun cubo.,4,9,1,2,1,2,6,13,0.46153846153846156,1,0
