test_id,escenario,layout_id,intento,instruccion,starBlackPos,starOrangePos,cubeBlackPos,cubeOrangePos,foto_objeto,foto_pos,objeto_ocluido,setup_validado,objeto_visible_inicio,oclusion_verificada,estrella_negra_agarre,estrella_negra_destino,estrella_naranja_agarre,estrella_naranja_destino,cubo_negro_agarre,cubo_negro_destino,cubo_naranja_agarre,cubo_naranja_destino,finalizacion_limpia,recuerda_objeto_ocluido,completa_objeto_ocluido,selecciona_real_antes_foto,evita_intento_agarre_foto,intentos_agarre_foto,timeout,intervencion_emergencia,modo_fallo,objeto_fallo,fase_fallo,notas_ejecucion,puntuacion_destreza,max_destreza,puntuacion_memoria,max_memoria,puntuacion_3d,max_3d,puntuacion_total,puntuacion_max,puntuacion_normalizada,registro_valido,exito_completo
C-01,combinado_sin_foto,combinado_sin_foto,1,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,,Agarra del tiron las dos estrellas y las deja muy rapido en el cubilete. OC tambien bien (se sale del golpe pero el evaluador lo da por bueno). 'Todo perfecto todo' — episodio completo.,9,9,2,2,0,0,11,11,1.0,1,1
C-02,combinado_sin_foto,combinado_sin_foto,2,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,0,0,1,1,0,1,1,,,,1,0,alucinacion_abandono,cubo_negro,agarre,"BS: abandona y falla varias veces, luego lo coge bien. OS: reintenta y lo coge bien. OC: falla, reintenta, lo coge y deja bien. Alucina y termina sin acabar con BC (lapsus en la nota original: dice 'estrella negra' pero BS ya estaba resuelta antes).",6,9,2,2,0,0,8,11,0.7272727272727273,1,0
C-03,combinado_sin_foto,combinado_sin_foto,3,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,0,0,1,1,0,1,1,,,,1,0,agarre_fallido_alucinacion,cubo_negro,agarre,"BS bien. OS: la deja mal y se cae, la vuelve a coger y la deja bien. OC perfecto. Alucina con un objeto invisible en C3. BC: falla, alucina, lo coge mal, alucina, termina sin acabar con BC.",6,9,2,2,0,0,8,11,0.7272727272727273,1,0
C-04,combinado_sin_foto,combinado_sin_foto,4,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,,BS falla y luego bien. OS bien. BC bien. OC perfecto. 'Acaba todo perfecto' — episodio completo.,9,9,2,2,0,0,11,11,1.0,1,1
C-05,combinado_sin_foto,combinado_sin_foto,5,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,0,0,1,1,1,1,0,1,1,,,,1,0,empuja_objeto_fuera_area,estrella_naranja,agarre,BS perfecta a la primera. OS: la saca del espacio de trabajo y la abandona. OC bien al segundo intento. BC: lo clava. Termina sin OS por sacarla del area de trabajo.,6,9,2,2,0,0,8,11,0.7272727272727273,1,0
C-06,combinado_sin_foto,combinado_sin_foto,6,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,,BS falla y luego bien. OS perfecta a la primera. BC bien. OC bien. Alucina un poco pero 'termina el episodio bien' — se considera finalizacion limpia.,9,9,2,2,0,0,11,11,1.0,1,1
C-07,combinado_con_foto,combinado_con_foto,7,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,fijacion_en_foto,foto,agarre,"Va a la foto y alucina mucho tiempo con ella. 'Timeout, solo ha alucinado' — no intenta ningun objeto real en todo el episodio.",0,9,0,2,0,2,0,13,0.0,1,0
C-08,combinado_con_foto,combinado_con_foto,8,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,fijacion_en_foto,foto,agarre,"Va a la foto y alucina con ella y con un objeto invisible en B1, alucina con la foto otra vez. BS falla repetidamente. Vuelve a la foto. 'Timeout por alucinar con la foto'.",0,9,0,2,0,2,0,13,0.0,1,0
C-09,combinado_con_foto,combinado_con_foto,9,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,agarre_fallido,estrella_negra,agarre,"Va a la foto, va a la estrella negra y falla, la mueve, alucina. Va a la foto repetidas veces (solo aproximaciones, sin intento de agarre claro). 'Timeout por no coger nada'.",0,9,0,2,1,2,1,13,0.07692307692307693,1,0
C-10,combinado_con_foto,combinado_con_foto,10,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,2,1,0,confusion_foto_objeto_real,cubo_naranja;cubo_negro,agarre,"Va a la foto, luego BS bien, alucina con un objeto en B1. Va a la foto repetidas veces, OS bien. Alucina en C2. Vuelve a la foto. Va al cubo naranja real y falla; vuelve repetidamente a la foto DEL cubo naranja (confunde la foto con el objeto real). 'Timeout sin el cubo naranja o negro' — hallazgo relevante: confusion directa entre la foto y el objeto que representa.",4,9,1,2,0,2,5,13,0.38461538461538464,1,0
