test_id,escenario,layout_id,intento,instruccion,starBlackPos,starOrangePos,cubeBlackPos,cubeOrangePos,foto_objeto,foto_pos,objeto_ocluido,setup_validado,objeto_visible_inicio,oclusion_verificada,estrella_negra_agarre,estrella_negra_destino,estrella_naranja_agarre,estrella_naranja_destino,cubo_negro_agarre,cubo_negro_destino,cubo_naranja_agarre,cubo_naranja_destino,finalizacion_limpia,recuerda_objeto_ocluido,completa_objeto_ocluido,selecciona_real_antes_foto,evita_intento_agarre_foto,intentos_agarre_foto,timeout,intervencion_emergencia,modo_fallo,objeto_fallo,fase_fallo,notas_ejecucion
C-01,combinado_sin_foto,combinado_sin_foto,1,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,0,0,1,1,0,0,0,0,0,1,0,,,,0,1,fallo_critico_intervencion,cubo_naranja;cubo_negro;estrella_negra(no_intentada),agarre,"Aviso inicial de bloqueo pero recupera. Alucina con objeto en B2. Va por OC y falla. OS bien, la deja bien. Va por un cubo, falla el agarre, tiembla, alucina, vuelve a OC. 'Fallo crítico, intervención' — episodio cortado por el evaluador antes del timeout. BS no se menciona en ningún momento."
C-02,combinado_sin_foto,combinado_sin_foto,2,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,agarre_fallido,estrella_negra,agarre,"Va por BS repetidamente, falla siempre, alucina entre intentos. Ningún otro objeto se menciona. Termina sin completar (sin intervención) — timeout."
C-03,combinado_sin_foto,combinado_sin_foto,3,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,fallo_critico_intervencion,estrella_negra;estrella_naranja,agarre,"Falla repetidamente con BS y OS, alucina varias veces. 'Bloqueo, intervención, fallo crítico' al final — episodio cortado antes del timeout."
C-04,combinado_sin_foto,combinado_sin_foto,4,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,agarre_fallido_alucinacion,estrella_negra;estrella_naranja,agarre,"Falla repetidamente con BS y OS durante todo el episodio, mucha alucinación. Termina sin completar (sin intervención) — timeout."
C-05,combinado_sin_foto,combinado_sin_foto,5,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,fallo_critico_intervencion,estrella_negra;estrella_naranja,agarre,"Falla repetidamente con BS y OS, tiembla varias veces, alucina. 'Bloqueo intervención. Final abrupto. Fallo crítico'."
C-06,combinado_sin_foto,combinado_sin_foto,6,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,0,1,fallo_critico_intervencion,estrella_naranja,agarre,"BS bien de entrada. OS falla repetidamente pese a muchos reintentos, tiembla varias veces, alucina. 'Intervención, fallo crítico' al final."
C-07,combinado_con_foto,combinado_con_foto,7,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,fijacion_en_foto_fallo_critico,foto,agarre,"Alucina con objeto en B1 y a partir de ahí se fija en la foto de forma casi continua (~6 menciones de 'va por la foto' a lo largo del episodio), temblando repetidamente. 'Bloqueo intervención forzosa... fallo crítico' — nunca llega a intentar ningún objeto real."
C-08,combinado_con_foto,combinado_con_foto,8,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,fallo_critico_intervencion_inmediata,ninguno_intentado,inicio,"Transcripción muy breve (proporcionada aparte, faltaba en el archivo original): 'Bloqueo intervención fin del episodio, fallo crítico' — colapso casi inmediato, sin llegar a intentar ningún objeto ni la foto."
C-09,combinado_con_foto,combinado_con_foto,9,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,fallo_critico_intervencion_inmediata,ninguno_intentado,inicio,"Alucina repetidamente con un objeto que no existe y con uno en B1, tiembla. 'Bloqueo intervención. Fallo crítico. Fin del episodio' — colapso rápido sin intentar ningún objeto real ni la foto."
C-10,combinado_con_foto,combinado_con_foto,10,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fijacion_en_foto_fallo_critico,foto,agarre,"Alucina repetidamente, tiembla. Va por la foto dos veces seguidas justo antes del colapso. 'Tiembla, bloqueo, intervención, fallo crítico, fin del episodio'."
